GEOID,year,scenario,pixel_count,annual_mean_temp_c,annual_min_temp_c,annual_max_temp_c,high_temp_days_90th,high_temp_days_95th,low_temp_days_10th,annual_mean_min_temp_c,annual_precipitation_mm,high_precip_days_95th,high_precip_days_95th.1,hot_days_30c,threshold_90th_c,threshold_95th_c,cold_days_0c,threshold_10th_c,very_cold_days_10th,extremely_cold_days_5th,ultra_cold_days_1st,threshold_10th_c_cold,threshold_5th_c,threshold_1st_c,growing_degree_days,precip_per_high_day,high_day_ratio
55021,2092,ssp245,5,22.345293045043945,10.527917861938477,30.322723388671875,119.0,69.0,0.0,16.869611740112305,1611.6279296875,102.0,102.0,17.0,27.530303955078125,29.436187744140625,0.0,-0.887451171875,0.0,0.0,0.0,-6.57135009765625,-9.848214721679687,-16.206002807617185,4506.03271484375,15.800273820465685,27.945205479452056
55021,2093,ssp245,5,22.342443466186523,10.955157279968262,30.3834228515625,119.4,68.0,0.0,16.88492202758789,1618.795166015625,102.8,102.8,18.4,27.51953125,29.427154541015625,0.0,-0.8831787109375,0.0,0.0,0.0,-6.566436767578125,-9.8712158203125,-16.18358337402344,4504.99072265625,15.747034688867949,28.164383561643834
55021,2094,ssp245,5,22.344207763671875,10.648534774780272,30.3450984954834,119.8,68.6,0.0,16.905540466308594,1636.235595703125,104.8,104.8,17.6,27.533935546875,29.428009033203125,0.0,-0.7704956054687493,0.0,0.0,0.0,-6.48992919921875,-9.751922607421877,-16.007832641601563,4505.63525390625,15.6129350735031,28.712328767123285
55021,2095,ssp245,5,22.35148429870605,10.646020889282228,30.36554527282715,119.6,69.0,0.0,16.903715133666992,1630.6064453125,102.2,102.2,20.8,27.554962158203125,29.45077514648437,0.0,-0.6617431640625,0.0,0.0,0.0,-6.404528808593749,-9.625985717773435,-15.850819702148437,4508.2919921875,15.955053280944227,28.000000000000004
55021,2096,ssp245,5,22.33821678161621,10.522686958312988,30.30853271484375,119.4,68.6,0.0,16.84675407409668,1619.2025146484375,105.4,105.4,19.8,27.54655761718752,29.44622802734375,0.0,-0.701629638671875,0.0,0.0,0.0,-6.4422607421875,-9.6448974609375,-15.881987915039062,4503.4482421875,15.362452700649312,28.876712328767123
55021,2097,ssp245,5,22.35271072387696,10.6673583984375,30.2449951171875,119.8,67.6,0.0,16.864566802978516,1616.2314453125,106.2,106.2,18.0,27.5823974609375,29.4617919921875,0.0,-0.81182861328125,0.0,0.0,0.0,-6.56170654296875,-9.780670166015623,-15.957722778320312,4508.74072265625,15.218751839100753,29.0958904109589
55021,2098,ssp245,5,22.392906188964844,10.819879531860352,30.20346641540528,120.4,68.8,0.0,16.91397476196289,1621.787841796875,110.2,110.2,18.6,27.568756103515625,29.445230102539057,0.0,-0.706085205078125,0.0,0.0,0.0,-6.481890869140624,-9.691070556640623,-15.79322265625,4523.4111328125,14.716768074381806,30.191780821917806
55021,2099,ssp245,5,22.385875701904297,10.601654052734377,30.27739906311035,120.2,69.2,0.0,16.91952896118164,1640.101806640625,108.0,108.0,20.2,27.5748291015625,29.455718994140625,0.0,-0.6217041015625,0.0,0.0,0.0,-6.410552978515625,-9.590493774414062,-15.6511328125,4520.8447265625,15.186127839265046,29.589041095890412
55021,2100,ssp245,5,22.373889923095703,10.533075332641602,30.29169273376465,120.6,68.8,0.0,16.913698196411133,1665.17578125,113.2,113.2,22.6,27.5721435546875,29.465606689453125,0.0,-0.6773681640625,0.0,0.0,0.0,-6.450225830078125,-9.627349853515623,-15.624124145507812,4516.4697265625,14.71003340326855,31.013698630136986
55023,1983,historical,4,19.694997787475582,9.114944458007812,28.04503631591797,123.5,76.5,0.0,13.713411331176758,1581.118408203125,104.25,104.25,0.0,24.35638427734375,26.71369323730468,0.0,-4.165283203125,0.0,0.0,0.0,-9.80859375,-14.021127319335935,-20.866205139160154,3543.717041015625,15.1666034360012,28.56164383561644
